pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID
직구,크루세타,추승우,79435,72139,140,타격,필드 아웃,파울 플라이 아웃,추승우 : 좌익수 파울플라이 아웃;,0,0,0,1,초,0,0,1,0,좌,우,,,,크루세타,현재윤,채태인,신명철,조동찬,박진만,강봉규,이영욱,박한이,,,,79435,72427,77463,71504,72466,96307,70224,78467,71432,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,1,1,-1,20100422HHSS0
직구,크루세타,전근표,79435,70364,140,볼,,,,0,0,1,1,초,0,0,0,0,좌,우,,,,크루세타,현재윤,채태인,신명철,조동찬,박진만,강봉규,이영욱,박한이,,,,79435,72427,77463,71504,72466,96307,70224,78467,71432,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,2,1,-1,20100422HHSS0
직구,크루세타,전근표,79435,70364,145,볼,,,,1,0,1,1,초,0,0,0,0,좌,우,,,,크루세타,현재윤,채태인,신명철,조동찬,박진만,강봉규,이영욱,박한이,,,,79435,72427,77463,71504,72466,96307,70224,78467,71432,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,2,2,-1,20100422HHSS0
직구,크루세타,전근표,79435,70364,143,볼,,,,2,0,1,1,초,0,0,0,0,좌,우,,,,크루세타,현재윤,채태인,신명철,조동찬,박진만,강봉규,이영욱,박한이,,,,79435,72427,77463,71504,72466,96307,70224,78467,71432,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,2,3,-1,20100422HHSS0
직구,크루세타,전근표,79435,70364,146,스트라이크,,,,3,0,1,1,초,0,0,0,0,좌,우,,,,크루세타,현재윤,채태인,신명철,조동찬,박진만,강봉규,이영욱,박한이,,,,79435,72427,77463,71504,72466,96307,70224,78467,71432,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,2,4,-1,20100422HHSS0
포크,크루세타,전근표,79435,70364,132,스트라이크,,,,3,1,1,1,초,0,0,0,0,좌,우,,,,크루세타,현재윤,채태인,신명철,조동찬,박진만,강봉규,이영욱,박한이,,,,79435,72427,77463,71504,72466,96307,70224,78467,71432,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,2,5,-1,20100422HHSS0
직구,크루세타,전근표,79435,70364,147,파울,,,,3,2,1,1,초,0,0,0,0,좌,우,,,,크루세타,현재윤,채태인,신명철,조동찬,박진만,강봉규,이영욱,박한이,,,,79435,72427,77463,71504,72466,96307,70224,78467,71432,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,2,6,-1,20100422HHSS0
포크,크루세타,전근표,79435,70364,133,헛스윙,삼진,삼진,전근표 :  삼진 아웃;,3,2,1,1,초,0,0,0,0,좌,우,,,,크루세타,현재윤,채태인,신명철,조동찬,박진만,강봉규,이영욱,박한이,,,,79435,72427,77463,71504,72466,96307,70224,78467,71432,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,2,7,-1,20100422HHSS0
직구,크루세타,정원석,79435,70240,146,볼,,,,0,0,2,1,초,0,0,0,0,우,우,,,,크루세타,현재윤,채태인,신명철,조동찬,박진만,강봉규,이영욱,박한이,,,,79435,72427,77463,71504,72466,96307,70224,78467,71432,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,3,1,-1,20100422HHSS0
직구,크루세타,정원석,79435,70240,144,타격,포스 아웃,땅볼 아웃,정원석 : 3루수 땅볼 아웃 (3루수->1루수 송구아웃);,1,0,2,1,초,0,0,1,0,우,우,,,,크루세타,현재윤,채태인,신명철,조동찬,박진만,강봉규,이영욱,박한이,,,,79435,72427,77463,71504,72466,96307,70224,78467,71432,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,3,2,-1,20100422HHSS0
슬라이더,류현진,신명철,76715,71504,130,볼,,,,0,0,0,1,말,0,0,0,0,우,좌,,,,류현진,신경현,전현태,정원석,송광민,이대수,최진행,추승우,전근표,,,,76715,98742,75706,70240,76753,72860,74729,72139,70364,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,4,1,-1,20100422HHSS0
슬라이더,류현진,신명철,76715,71504,133,파울,,,,1,0,0,1,말,0,0,0,0,우,좌,,,,류현진,신경현,전현태,정원석,송광민,이대수,최진행,추승우,전근표,,,,76715,98742,75706,70240,76753,72860,74729,72139,70364,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,4,2,-1,20100422HHSS0
커브,류현진,신명철,76715,71504,100,볼,,,,1,1,0,1,말,0,0,0,0,우,좌,,,,류현진,신경현,전현태,정원석,송광민,이대수,최진행,추승우,전근표,,,,76715,98742,75706,70240,76753,72860,74729,72139,70364,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,4,3,-1,20100422HHSS0
커브,류현진,신명철,76715,71504,120,파울,,,,2,1,0,1,말,0,0,0,0,우,좌,,,,류현진,신경현,전현태,정원석,송광민,이대수,최진행,추승우,전근표,,,,76715,98742,75706,70240,76753,72860,74729,72139,70364,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,4,4,-1,20100422HHSS0
직구,류현진,신명철,76715,71504,133,볼,,,,2,2,0,1,말,0,0,0,0,우,좌,,,,류현진,신경현,전현태,정원석,송광민,이대수,최진행,추승우,전근표,,,,76715,98742,75706,70240,76753,72860,74729,72139,70364,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,4,5,-1,20100422HHSS0
슬라이더,류현진,신명철,76715,71504,131,볼,볼넷,볼넷,신명철 :  볼넷;,3,2,0,1,말,0,0,0,0,우,좌,,,,류현진,신경현,전현태,정원석,송광민,이대수,최진행,추승우,전근표,,,,76715,98742,75706,70240,76753,72860,74729,72139,70364,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,4,6,-1,20100422HHSS0
커브,류현진,조동찬,76715,72466,122,헛스윙,,,,0,0,0,1,말,0,0,0,0,우,좌,신명철,,,류현진,신경현,전현태,정원석,송광민,이대수,최진행,추승우,전근표,71504.0,,,76715,98742,75706,70240,76753,72860,74729,72139,70364,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,5,1,-1,20100422HHSS0
슬라이더,류현진,조동찬,76715,72466,132,타격,희생번트,희생번트,조동찬 : 투수 희생번트 아웃 (투수->1루수 송구아웃); 1루주자 신명철 : 2루까지 진루;,0,1,0,1,말,0,0,1,0,우,좌,신명철,,,류현진,신경현,전현태,정원석,송광민,이대수,최진행,추승우,전근표,71504.0,,,76715,98742,75706,70240,76753,72860,74729,72139,70364,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,5,2,-1,20100422HHSS0
슬라이더,류현진,최형우,76715,72443,135,타격,2루타,2루타,최형우 : 우익수 오른쪽 2루타; 2루주자 신명철 : 홈인;,0,0,1,1,말,0,0,0,1,좌,좌,,신명철,,류현진,신경현,전현태,정원석,송광민,이대수,최진행,추승우,전근표,,71504.0,,76715,98742,75706,70240,76753,72860,74729,72139,70364,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,6,1,-1,20100422HHSS0
커브,류현진,채태인,76715,77463,125,헛스윙,,,,0,0,1,1,말,0,1,0,0,좌,좌,,최형우,,류현진,신경현,전현태,정원석,송광민,이대수,최진행,추승우,전근표,,72443.0,,76715,98742,75706,70240,76753,72860,74729,72139,70364,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,7,1,-1,20100422HHSS0
직구,류현진,채태인,76715,77463,133,스트라이크,,,,0,1,1,1,말,0,1,0,0,좌,좌,,최형우,,류현진,신경현,전현태,정원석,송광민,이대수,최진행,추승우,전근표,,72443.0,,76715,98742,75706,70240,76753,72860,74729,72139,70364,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,7,2,-1,20100422HHSS0
직구,류현진,채태인,76715,77463,136,볼,,,,0,2,1,1,말,0,1,0,0,좌,좌,,최형우,,류현진,신경현,전현태,정원석,송광민,이대수,최진행,추승우,전근표,,72443.0,,76715,98742,75706,70240,76753,72860,74729,72139,70364,,,,,,,,,,,,,,,,,,20100422,SS,HH,삼성,한화,시민,김병주,7,3,-1,20100422HHSS0
